time,event,location,category,info
10:00 AM,Estel Hall Opens,Estel Hall,Fair,The fair opens at 10 a.m.
10:00 AM,Art Expo,Ag Building,Art,Several art displays will be taking place in the Ag Building
10:00 AM,Photography Display,Ag Building,Art,Several art displays will be taking place in the Ag Building
10:00 AM,Home Arts Expo,Ag Building,Art,Several art displays will be taking place in the Ag Building
10:00 AM,Hall of Breeds,Barn 5Livestock Barns,Livestock,Livestock shows are taking place in barn 5 and 6.
10:00 AM,Blue Ribbon Row,Barn 6Livestock Barns,Livestock,Livestock shows are taking place in barn 5 and 6.
10:30 AM,Bob Bohm's Family Entertainment,Estel Hall Stage,Entertainment,"Bob Bohm is a magician and entertainer. Performances include magic, illusions and Survivor, The Family Game Show"
10:30 AM,Tree of Life,Roaming,Entertainment,"The ""tree of life"" features a man dressed in a giant tree costume. He roams the grounds throughout the day."
11:00 AM,Muttville Comix,Ag Building,Entertainment,The Muttville Comix is a slapstick comedy act featuring more than a dozen dogs. The dogs are lead by Johnny Peers. 
11:00 AM,Wild World of Animals,Vets Plaza,Entertainment,This wildlife company located in Pennsylvania specializes in entertaining and educational wildlife shows. The group offers more than 85 animals.
11:30 AM,Chase's Racing Pigs,Concourse,Entertainment,"This act features pigs racing around a race track, which features a water obstacle course."
12:00 PM,Home Free,Pavilion,Music,This vocal band not only sings a capella but they recreate the entire band experience.
12:00 PM,Brunon Blaszaks Royal Bengal Tiger Show,Bennington Knoll,Entertainment,"This entertaining and educational show will feature Bengal, Sumatran and Siberian tigers, including an extremely rare white Bengal tiger. For more information, <a href='http://wcfcourier.com/news/local/tigers-arrive-for-national-cattle-congress/article_5b9c94ee-85d2-5840-92cc-85880e7caeb5.html' target=""_blank"">read our story</a>."
12:30 PM,Pat Davison’s Comedy Magic Circus,Ag Building,Entertainment,"Pat Davison and family represent more than 40 years of worldwide experience. The performance includes magic, juggling, hula hoops and unicyclists."
12:30 PM,Great Lakes Timber Show,McElroy Outdoor Stage,Entertainment,"This lumberjack show features chainsaw carving, axe throwing, wood chopping, log rolling and more."
12:30 PM,Bob Bohm's Family Entertainment,Estel Hall Stage,Entertainment,"Bob Bohm is a magician and entertainer. Performances include magic, illusions and Survivor, The Family Game Show"
1:00 PM,Dennis Wayne Gang,Pavilion,Music,This Cedar Falls cover band plays country and rock.
1:30 PM,Chase's Racing Pigs,Concourse,Entertainment,"This act features pigs racing around a race track, which features a water obstacle course."
1:30 PM,Tree of Life,Roaming,Entertainment,"The ""tree of life"" features a man dressed in a giant tree costume. He roams the grounds throughout the day."
2:00 PM,Muttville Comix,Ag Building,Entertainment,The Muttville Comix is a slapstick comedy act featuring more than a dozen dogs. The dogs are lead by Johnny Peers. 
2:00 PM,Bob Bohm's Family Entertainment,Estel Hall Stage,Entertainment,"Bob Bohm is a magician and entertainer. Performances include magic, illusions and Survivor, The Family Game Show"
2:00 PM,Wild World of Animals,Vets Plaza,Entertainment,This wildlife company located in Pennsylvania specializes in entertaining and educational wildlife shows. The group offers more than 85 animals.
3:00 PM,Great Lakes Timber Show,McElroy Outdoor Stage,Entertainment,"This lumberjack show features chainsaw carving, axe throwing, wood chopping, log rolling and more."
3:30 PM,Pat Davison’s Comedy Magic Circus,Ag Building,Entertainment,"Pat Davison and family represent more than 40 years of worldwide experience. The performance includes magic, juggling, hula hoops and unicyclists."
3:30 PM,Tree of Life,Roaming,Entertainment,"The ""tree of life"" features a man dressed in a giant tree costume. He roams the grounds throughout the day."
4:30 PM,Great Lakes Timber Show,McElroy Outdoor Stage,Entertainment,"This lumberjack show features chainsaw carving, axe throwing, wood chopping, log rolling and more."
5:00 PM,Muttville Comix,Ag Building,Entertainment,The Muttville Comix is a slapstick comedy act featuring more than a dozen dogs. The dogs are lead by Johnny Peers. 
5:00 PM,Chase's Racing Pigs,Concourse,Entertainment,"This act features pigs racing around a race track, which features a water obstacle course."
5:00 PM,Home Free,Pavilion,Music,This vocal band not only sings a capella but they recreate the entire band experience.
5:00 PM,Outlaw Motocross preview,Race Track,Racing,"This event will preview the Outlaw Motocross Championship, which will be held Saturday at 5 p.m."
5:00 PM,Wild World of Animals,Vets Plaza,Entertainment,This wildlife company located in Pennsylvania specializes in entertaining and educational wildlife shows. The group offers more than 85 animals.
5:30 PM,Bob Bohm's Family Entertainment,Estel Hall Stage,Entertainment,"Bob Bohm is a magician and entertainer. Performances include magic, illusions and Survivor, The Family Game Show"
5:30 PM,Tree of Life,Roaming,Entertainment,"The ""tree of life"" features a man dressed in a giant tree costume. He roams the grounds throughout the day."
6:00 PM,Country Cloggers,Pavilion,Entertainment,"Formed in the 1980s, this group has helped reintroduce the area to clogging, which is a lively dance that relies on the feet to make noise and keep time to the downbeat of music. "
6:00 PM,Brunon Blaszaks Royal Bengal Tiger Show,Bennington Knoll,Entertainment,"This entertaining and educational show will feature Bengal, Sumatran and Siberian tigers, including an extremely rare white Bengal tiger. For more information, <a href='http://wcfcourier.com/news/local/tigers-arrive-for-national-cattle-congress/article_5b9c94ee-85d2-5840-92cc-85880e7caeb5.html' target=""_blank"">read our story</a>."
6:30 PM,Pat Davison’s Comedy Magic Circus,Ag Building,Entertainment,"Pat Davison and family represent more than 40 years of worldwide experience. The performance includes magic, juggling, hula hoops and unicyclists."
6:30 PM,Concert doors open,McElroy,Music,Gloriana is scheduled to play at 7 p.m.
7:00 PM,Barrel Racing,Pullin Simonsen Arena,Rodeo,This rodeo event showcases a horse and rider attempting to maneuver around barrels in the fastest time.
7:30 PM,Gloriana with The New Black 7,McElroy,Music,Country's newest superband Gloriana will headline Waterloo's 103rd annual National Cattle Congress Fair
8:30 PM,Lonesome Road,Pavilion,Music,This high energy group from Cedar Rapids fills their set list with current country rock. They formed in 2009.
